,count
Rising Pune Supergiant,62.5
Gujarat Titans,62.22222222222222
Chennai Super Kings,57.98319327731093
Mumbai Indians,55.172413793103445
Lucknow Super Giants,54.54545454545454
Delhi Capitals,52.74725274725275
Kolkata Knight Riders,52.191235059760956
Rajasthan Royals,50.678733031674206
Sunrisers Hyderabad,48.35164835164835
Royal Challengers Bangalore,48.333333333333336
Royal Challengers Bengaluru,46.666666666666664
Kings XI Punjab,46.31578947368421
Gujarat Lions,43.333333333333336
Kochi Tuskers Kerala,42.857142857142854
Punjab Kings,42.857142857142854
Delhi Daredevils,41.61490683229814
Deccan Chargers,38.666666666666664
Rising Pune Supergiants,35.714285714285715
Pune Warriors,26.08695652173913
